🇨🇳｜央视,#genre#
JJ,http://akm-tct.douyucdn.cn/live/9663368rCd1Gt2dh.flv?uuid=
JJ2,http://epg.112114.xyz/douyu/9663368
CCTV1 综合,http://39.135.55.105:6610/PLTV/88888888/224/3221225829/index.m3u8?servicetype=1&IASHttpSessionId=OTT2738620220502042912053993
CCTV1 综合,http://39.135.32.24:6610/000000001000/1000000001000021973/1.m3u8?i?zzhongd
CCTV1 综合,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV1 综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV2 财经,http://39.135.55.7:6610/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV2 财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225643/index.m3u8?$移动蓝光1080P 
CCTV2 财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV3 综艺,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8?$移动蓝光1080P
CCTV3 综艺,http://111.63.117.13:6060/030000001000/CCTV3/CCTV3.m3u8
CCTV3 综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV4 国际HD,http://111.11.123.49:6610/000000001000/5000000005000030093/1.m3u8?Contentid=5000000005000030093&livemode=1&stbId=3&channel-id=bestzb
CCTV4 国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
CCTV4 国际[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4 欧洲HD,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV4 美洲,http://117.148.179.157/PLTV/88888888/224/3221232866/index.m3u8?zzhongd
CCTV4 美洲,http://117.148.179.157/PLTV/88888888/224/3221231654/index.m3u8?zzhongd
CCTV5 体育,http://39.134.65.208/PLTV/88888888/224/3221225818/index.m3u8
CCTV5 体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV5 体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5 体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+体育[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+HD,http://117.148.179.136/PLTV/88888888/224/3221231459/1.m3u8
CCTV5+HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV6电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV6电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8?$移动蓝光1080P
CCTV6电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7国防[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV7国防,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7国防,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV7国防,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV7国防,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8剧场[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878356
CCTV8剧场,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8剧场,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV9纪录[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV9纪录,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV9纪录,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV10 科教[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV10 科教[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878405
CCTV10 科教,http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8
CCTV11 戏曲,http://39.134.65.162/PLTV/88888888/224/3221225517/index.m3u8
CCTV11 戏曲,http://39.135.55.105:6610/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1&IASHttpSessionId=OTT2730520220502044038049836
CCTV11戏曲,http://117.148.179.164/PLTV/88888888/224/3221231711/index.m3u8
CCTV11戏曲,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12 法制[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV12 法制,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8
CCTV12法制,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV12法制,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV12法治组播HD,http://116.230.173.254:4022/rtp/239.45.1.46:5140
CCTV13 新闻[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
